,Bowler,Country,No. of Matches Bowled In,Total Wickets,Total Balls Bowled,Total Runs Conceded,Bowling Average,Economy Rate,Strike Rate,Balls Bowled per Match,Wickets per Match
211,Amir Hamza,Afghanistan/Spain,35,31,678,769,24.80645161,6.805309735,21.87096774,19.37142857,0.885714286
212,Amir Hayat,United Arab Emirates,4,6,84,103,17.16666667,7.357142857,14,21,1.5
213,Amir Mangal,Germany,1,1,18,17,17,5.666666667,18,18,1
214,Amir Zaib,Portugal,5,4,61,83,20.75,8.163934426,15.25,12.2,0.8
215,Amjad Javed,United Arab Emirates,22,33,446,560,16.96969697,7.533632287,13.51515152,20.27272727,1.5
216,Amjad Mahboob,Singapore,26,32,520,724,22.625,8.353846154,16.25,20,1.230769231
217,Amjad Sher,Finland,15,17,330,355,20.88235294,6.454545455,19.41176471,22,1.133333333
218,Ammad Uddin,Bahrain,1,0,6,10,0,10,0,6,0
219,Ammar Khalid,Canada,7,12,156,174,14.5,6.692307692,13,22.28571429,1.714285714
220,Amoluk Singh,Ghana,11,5,138,147,29.4,6.391304348,27.6,12.54545455,0.454545455
221,Anasim Khan,Bahrain,6,7,126,159,22.71428571,7.571428571,18,21,1.166666667
222,Andre Jarju,Gambia,5,1,72,120,120,10,72,14.4,0.2
223,Anik Ahmed,Italy,4,2,54,76,38,8.444444444,27,13.5,0.5
224,Anique Uddin,Denmark,7,3,78,97,32.33333333,7.461538462,26,11.14285714,0.428571429
225,Ankit Dubey,Sweden,2,3,30,23,7.666666667,4.6,10,15,1.5
226,Anmoldeep Singh,Italy,4,0,32,70,0,13.125,0,8,0
227,Anoop Orsu,Luxembourg,3,1,30,53,53,10.6,30,10,0.333333333
228,Anowarul Islam,Thailand,2,0,18,25,0,8.333333333,0,9,0
229,Ansar Iqbal,Norway,2,0,12,16,0,8,0,6,0
230,Anshuman Rath,Hong Kong,12,5,174,241,48.2,8.310344828,34.8,14.5,0.416666667
231,Anwar Ali,Pakistan,13,9,229,313,34.77777778,8.200873362,25.44444444,17.61538462,0.692307692
232,Anwar Rahman,Malaysia,15,19,289,274,14.42105263,5.688581315,15.21052632,19.26666667,1.266666667
233,Aphsal Ashraf,Kuwait,1,2,24,35,17.5,8.75,12,24,2
234,Aqib Ilyas,Oman,7,2,102,117,58.5,6.882352941,51,14.57142857,0.285714286
235,Aqib Iqbal,Austria,20,22,415,452,20.54545455,6.534939759,18.86363636,20.75,1.1
236,Arafat Sunny,Bangladesh,10,12,186,230,19.16666667,7.419354839,15.5,18.6,1.2
237,Ariful Haque,Bangladesh,1,1,6,13,13,13,6,6,1
238,Arjun Vinod,Switzerland,13,4,156,228,57,8.769230769,39,12,0.307692308
239,Arsalan Ahmed,Greece,2,1,18,35,35,11.66666667,18,9,0.5
240,Arsalan Qadir,Canada,1,0,6,12,0,12,0,6,0
241,Arshad Iqbal,Pakistan,1,1,24,16,16,4,24,24,1
242,Arshdeep Singh,India,32,46,647,912,19.82608696,8.457496136,14.06521739,20.21875,1.4375
243,Arslan Amjad,Estonia,2,1,18,31,31,10.33333333,18,9,0.5
244,Aryan Lakra,United Arab Emirates,2,2,36,38,19,6.333333333,18,18,1
245,Asad Ali,Pakistan,2,0,24,33,0,8.25,0,12,0
246,Asad Ali Rehemtulla,Bulgaria,15,17,280,404,23.76470588,8.657142857,16.47058824,18.66666667,1.133333333
247,Asad Mohammad,Germany,7,2,108,132,66,7.333333333,54,15.42857143,0.285714286
248,Asghar Stanikzai,Afghanistan,1,1,4,4,4,6,4,4,1
249,Ashfaq Ahmed,United Arab Emirates,1,1,24,20,20,5,24,24,1
250,Ashiqullah Said,Belgium,8,10,174,154,15.4,5.310344828,17.4,21.75,1.25
