,Batter,Country,No. of Innings,No. of Not Outs,Total Runs,Total Balls Faced,No. of Outs,Batting Average,Strike Rate,Balls Faced per Innings,Balls Faced per Wicket
2202,Raqibul Hasan,Bangladesh,5,0,51,62,5,10.2,82.25806452,12.4,12.4
2203,Rashid Khan,Afghanistan/ICC World XI,44,19,356,278,25,14.24,128.057554,6.318181818,11.12
2204,Ravi Bishnoi,India,3,2,18,8,1,18,225,2.666666667,8
2205,Ravinder Singh,Malta,1,0,9,19,1,9,47.36842105,19,19
2206,Ravinderpal Singh,Canada,20,2,475,310,18,26.38888889,153.2258065,15.5,17.22222222
2207,Raza Hasan,Pakistan,2,2,18,25,0,18,72,12.5,inf
2208,Raza Iqbal,Norway,18,3,312,267,15,20.8,116.8539326,14.83333333,17.8
2209,Raza-ur-Rehman,Canada,4,0,25,29,4,6.25,86.20689655,7.25,7.25
2210,Razmal Shigiwal,Austria,20,1,569,434,19,29.94736842,131.1059908,21.7,22.84210526
2211,Rehan Ahmed,England,1,0,11,11,1,11,100,11,11
2212,Rehman Abdul,Italy,3,1,47,51,2,23.5,92.15686275,17,25.5
2213,Riaz Afridi,Czech Republic,1,0,11,5,1,11,220,5,5
2214,Riazat Ali Shah,Uganda,41,13,1053,810,28,37.60714286,130,19.75609756,28.92857143
2215,Rishad Hossain,Bangladesh,1,0,8,7,1,8,114.2857143,7,7
2216,Ritik Tomar,Czech Republic,13,4,164,118,9,18.22222222,138.9830508,9.076923077,13.11111111
2217,Riyaz Kajalwala,Cyprus,2,1,1,9,1,1,11.11111111,4.5,9
2218,Rizwan Butt,Bahrain,6,2,23,26,4,5.75,88.46153846,4.333333333,6.5
2219,Rizwan Cheema,Canada,16,0,117,120,16,7.3125,97.5,7.5,7.5
2220,Rizwan Haider,Malaysia,4,4,22,14,0,22,157.1428571,3.5,inf
2221,Rizwan Mahmood,Denmark,10,2,154,126,8,19.25,122.2222222,12.6,15.75
2222,Rizwan Mangera,Panama,1,0,2,13,1,2,15.38461538,13,13
2223,Robert Raina,Thailand,6,0,77,99,6,12.83333333,77.77777778,16.5,16.5
2224,Rohan Bhavesh Patel,Bulgaria,1,1,3,3,0,3,100,3,inf
2225,Rohan Mustafa,United Arab Emirates,48,4,889,743,44,20.20454545,119.6500673,15.47916667,16.88636364
2226,Rohit Kumar,Romania,5,0,80,65,5,16,123.0769231,13,13
2227,Rony Talukdar,Bangladesh,8,0,204,148,8,25.5,137.8378378,18.5,18.5
2228,Rubel Hossain,Bangladesh,13,8,20,36,5,4,55.55555556,2.769230769,7.2
2229,S Arachchige,Italy,1,0,0,2,1,0,0,2,2
2230,S Ashwathnarayana,Hungary,7,3,148,103,4,37,143.6893204,14.71428571,25.75
2231,S Ateak,Ghana,3,0,45,48,3,15,93.75,16,16
2232,S Austin,Cyprus,7,0,65,68,7,9.285714286,95.58823529,9.714285714,9.714285714
2233,S Badree,West Indies/ICC World XI,13,9,41,56,4,10.25,73.21428571,4.307692308,14
2234,S Badrinath,India,1,0,43,36,1,43,119.4444444,36,36
2235,S Bangera,Israel,1,-1,23,14,2,11.5,164.2857143,14,7
2236,S Bau,Papua New Guinea,31,5,595,547,26,22.88461538,108.7751371,17.64516129,21.03846154
2237,S Bhari,Nepal,4,3,1,6,1,1,16.66666667,1.5,6
2238,S Bodha,Gibraltar,8,4,57,46,4,14.25,123.9130435,5.75,11.5
2239,S Bogdos,Greece,3,0,5,21,3,1.666666667,23.80952381,7,7
2240,S Browne,Luxembourg,2,0,1,9,2,0.5,11.11111111,4.5,4.5
2241,S Chanderpaul,West Indies,20,5,311,315,15,20.73333333,98.73015873,15.75,21
2242,S Chandramohan,Singapore,30,0,742,622,30,24.73333333,119.2926045,20.73333333,20.73333333
2243,S Chophel,Bhutan,4,1,11,18,3,3.666666667,61.11111111,4.5,6
2244,S Conteh,Sierra Leone,11,0,87,146,11,7.909090909,59.5890411,13.27272727,13.27272727
2245,S Cotter,Samoa,5,0,74,69,5,14.8,107.2463768,13.8,13.8
2246,S Crowie,St Helena,3,1,24,45,2,12,53.33333333,15,22.5
2247,S Davizi,Czech Republic,22,3,799,527,19,42.05263158,151.6129032,23.95454545,27.73684211
2248,S Delai,Fiji,1,0,16,29,1,16,55.17241379,29,29
2249,S Desungnoen,Thailand,10,3,72,88,7,10.28571429,81.81818182,8.8,12.57142857
2250,S Dhaniram,Canada,2,0,5,8,2,2.5,62.5,4,4
2251,S Dhawan,India,62,3,1724,1340,59,29.22033898,128.6567164,21.61290323,22.71186441
2252,S Draunivudi,Fiji,1,1,6,4,0,6,150,4,inf
2253,S Dube,India,7,3,112,77,4,28,145.4545455,11,19.25
2254,S Franklin,Switzerland,1,0,5,6,1,5,83.33333333,6,6
2255,S Gasteratos,Greece,2,0,6,12,2,3,50,6,6
2256,S Grover,Czech Republic,4,2,28,18,2,14,155.5555556,4.5,9
2257,S Hongsi,Thailand,3,3,27,16,0,27,168.75,5.333333333,inf
2258,S Hook,Estonia,7,1,147,154,6,24.5,95.45454545,22,25.66666667
2259,S Ivetic,Serbia,8,2,256,267,6,42.66666667,95.88014981,33.375,44.5
2260,S Jamil,Belgium,4,1,7,20,3,2.333333333,35,5,6.666666667
2261,S Jora,Nepal,6,1,101,83,5,20.2,121.686747,13.83333333,16.6
2262,S Kamate,Mali,4,0,11,33,4,2.75,33.33333333,8.25,8.25
2263,S Kimura,Japan,4,0,34,38,4,8.5,89.47368421,9.5,9.5
2264,S Kollery,Botswana,2,1,31,43,1,31,72.09302326,21.5,43
2265,S Koppolu,Slovenia,3,0,7,16,3,2.333333333,43.75,5.333333333,5.333333333
2266,S Kubheka,Swaziland,3,1,4,10,2,2,40,3.333333333,5
2267,S Kushretha,Luxembourg,4,0,42,47,4,10.5,89.36170213,11.75,11.75
2268,S Lamichhane,Nepal/ICC World XI,13,6,49,52,7,7,94.23076923,4,7.428571429
2269,S Loday,Bhutan,5,0,64,80,5,12.8,80,16,16
2270,S Mahmood,England,7,4,22,28,3,7.333333333,78.57142857,4,9.333333333
2271,S Matsikenyeri,Zimbabwe,5,0,48,53,5,9.6,90.56603774,10.6,10.6
2272,S Mba,Nigeria,7,2,105,144,5,21,72.91666667,20.57142857,28.8
2273,S Mills,Isle of Man,1,1,1,3,0,1,33.33333333,3,inf
2274,S Mohan,Philippines,1,0,0,1,1,0,0,1,1
2275,S Movva,Canada,2,0,41,39,2,20.5,105.1282051,19.5,19.5
2276,S Muniandy,Malaysia,34,10,417,318,24,17.375,131.1320755,9.352941176,13.25
2277,S Nadigotla,Romania,21,1,322,270,20,16.1,119.2592593,12.85714286,13.5
2278,S Navaratne,Japan,6,0,40,43,6,6.666666667,93.02325581,7.166666667,7.166666667
2279,S Nsubuga,Uganda,2,0,1,4,2,0.5,25,2,2
2280,S Ogundipe,Nigeria,1,1,1,3,0,1,33.33333333,3,inf
2281,S Periyalwar,Romania,24,7,351,365,17,20.64705882,96.16438356,15.20833333,21.47058824
2282,S Pokhriyal,Czech Republic,1,0,13,22,1,13,59.09090909,22,22
2283,S Pradhan,Bhutan,9,1,121,140,8,15.125,86.42857143,15.55555556,17.5
2284,S Prasanna,Sri Lanka,20,6,214,161,14,15.28571429,132.9192547,8.05,11.5
2285,S Ramakrishnan,Czech Republic,3,0,31,43,3,10.33333333,72.09302326,14.33333333,14.33333333
2286,S Randiv,Sri Lanka,2,0,8,6,2,4,133.3333333,3,3
2287,S Ravichandran,Japan,10,0,147,136,10,14.7,108.0882353,13.6,13.6
2288,S Ravoka,Fiji,5,2,24,37,3,8,64.86486486,7.4,12.33333333
2289,S Rengarajan,Czech Republic,1,1,6,12,0,6,50,12,inf
2290,S Rossi,Argentina,5,0,10,16,5,2,62.5,3.2,3.2
2291,S Rungrueang,Thailand,3,0,3,15,3,1,20,5,5
2292,S Samal,Rwanda,4,0,68,56,4,17,121.4285714,14,14
2293,S Samarawickrama,Sri Lanka,9,0,111,118,9,12.33333333,94.06779661,13.11111111,13.11111111
2294,S Santhirakumaran,France,5,0,64,95,5,12.8,67.36842105,19,19
2295,S Sengupta,Czech Republic,4,1,27,25,3,9,108,6.25,8.333333333
2296,S Sesazi,Uganda,48,4,1299,1058,44,29.52272727,122.778828,22.04166667,24.04545455
2297,S Shrivastava,Oman,1,1,22,11,0,22,200,11,inf
2298,S Singh,Kenya/Portugal,17,4,258,277,13,19.84615385,93.14079422,16.29411765,21.30769231
2299,S Siriotis,Greece,1,0,0,1,1,0,0,1,1
2300,S Smith,Bermuda,2,2,12,24,0,12,50,12,inf
2301,S Snater,Netherlands,5,0,18,16,5,3.6,112.5,3.2,3.2
2302,S Sohal,United States of America,1,0,18,18,1,18,100,18,18
2303,S Sola,Samoa,5,1,17,39,4,4.25,43.58974359,7.8,9.75
2304,S Sreesanth,India,2,1,19,11,1,19,172.7272727,5.5,11
2305,S Srikanth,Singapore,1,0,10,6,1,10,166.6666667,6,6
2306,S Tarawally,Sierra Leone,2,1,6,11,1,6,54.54545455,5.5,11
2307,S Thakor,Tanzania,20,7,196,128,13,15.07692308,153.125,6.4,9.846153846
2308,S Thakur,Romania,4,2,89,69,2,44.5,128.9855072,17.25,34.5
2309,S Thanikaithasan,Denmark,16,2,255,238,14,18.21428571,107.1428571,14.875,17
2310,S Tobgay,Bhutan,2,0,39,58,2,19.5,67.24137931,29,29
2311,S Tosic,Serbia,8,2,106,180,6,17.66666667,58.88888889,22.5,30
2312,S Udhayan,Seychelles,4,0,17,13,4,4.25,130.7692308,3.25,3.25
2313,S Varathappan,Kuwait,1,0,9,10,1,9,90,10,10
2314,S Vashisht,Romania,13,2,85,76,11,7.727272727,111.8421053,5.846153846,6.909090909
2315,S Veerapathiran,Bahrain,18,5,173,133,13,13.30769231,130.075188,7.388888889,10.23076923
2316,S Vesawkar,Nepal,16,5,297,287,11,27,103.4843206,17.9375,26.09090909
2317,S Vijay Unni,Malaysia,7,2,68,65,5,13.6,104.6153846,9.285714286,13
2318,S Vijayakumar,Singapore,2,0,2,5,2,1,40,2.5,2.5
2319,S Waqas Ahmed,Norway,8,4,56,69,4,14,81.15942029,8.625,17.25
2320,S Weleilakeba,Fiji,1,0,8,3,1,8,266.6666667,3,3
2321,S Wickramasekara,Czech Republic,21,3,423,304,18,23.5,139.1447368,14.47619048,16.88888889
2322,S Williams,Sierra Leone,6,4,32,41,2,16,78.04878049,6.833333333,20.5
2323,S Yeshi,Bhutan,4,3,15,18,1,15,83.33333333,4.5,18
2324,S di Bartolomeo,Italy,1,1,2,2,0,2,100,2,inf
2325,SA Abbott,Australia,3,1,17,17,2,8.5,100,5.666666667,8.5
2326,SA Ahmad,Denmark,23,2,539,496,21,25.66666667,108.6693548,21.56521739,23.61904762
2327,SA Edwards,Netherlands,40,14,538,459,26,20.69230769,117.211329,11.475,17.65384615
2328,SA Jumbe,Tanzania,20,6,205,182,14,14.64285714,112.6373626,9.1,13
2329,SA Mohandas,Hungary,6,4,42,39,2,21,107.6923077,6.5,19.5
2330,SA Okpe,Nigeria,12,1,73,97,11,6.636363636,75.25773196,8.083333333,8.818181818
2331,SA Wijeratne,Canada,9,1,236,177,8,29.5,133.3333333,19.66666667,22.125
2332,SA Yadav,India,49,10,1828,1052,39,46.87179487,173.7642586,21.46938776,26.97435897
2333,SB Styris,New Zealand,27,2,538,453,25,21.52,118.7637969,16.77777778,18.12
2334,SC Getkate,Ireland,23,3,252,223,20,12.6,113.0044843,9.695652174,11.15
2335,SC Kuggeleijn,New Zealand,7,3,79,37,4,19.75,213.5135135,5.285714286,9.25
2336,SC Williams,Zimbabwe,64,6,1383,1107,58,23.84482759,124.9322493,17.296875,19.0862069
2337,SCJ Broad,England,24,8,117,117,16,7.3125,100,4.875,7.3125
2338,SD Hope,West Indies,19,1,371,293,18,20.61111111,126.6211604,15.42105263,16.27777778
2339,SD Outerbridge,Bermuda,1,1,37,35,0,37,105.7142857,35,inf
2340,SD Parry,England,1,0,1,1,1,1,100,1,1
2341,SD Valjalo,Croatia,5,1,42,54,4,10.5,77.77777778,10.8,13.5
2342,SDJJ Dima,Mozambique,5,0,12,37,5,2.4,32.43243243,7.4,7.4
2343,SE Bond,New Zealand,7,2,13,17,5,2.6,76.47058824,2.428571429,3.4
2344,SE Findlay,West Indies,1,0,13,14,1,13,92.85714286,14,14
2345,SE Marsh,Australia,15,1,255,245,14,18.21428571,104.0816327,16.33333333,17.5
2346,SE Rutherford,West Indies,4,0,43,36,4,10.75,119.4444444,9,9
2347,SF Mire,Zimbabwe,8,0,253,196,8,31.625,129.0816327,24.5,24.5
2348,SF Nhavotso,Mozambique,3,0,12,25,3,4,48,8.333333333,8.333333333
2349,SF Tiai,Samoa,5,1,75,49,4,18.75,153.0612245,9.8,12.25
2350,SG Borthwick,England,1,0,14,16,1,14,87.5,16,16
2351,SG Diaby,Mali,3,0,9,15,3,3,60,5,5
2352,SH Obed,Vanuatu,9,5,69,63,4,17.25,109.5238095,7,15.75
2353,SHA Rance,New Zealand,3,0,10,21,3,3.333333333,47.61904762,7,7
2354,SHT Kandamby,Sri Lanka,2,0,12,17,2,6,70.58823529,8.5,8.5
2355,SI Kamea,Papua New Guinea,4,2,2,8,2,1,25,2,4
2356,SI Mahmood,England,2,2,1,2,0,1,50,1,inf
2357,SJ Baard,Namibia,28,3,714,629,25,28.56,113.5135135,22.46428571,25.16
2358,SJ Benn,West Indies,6,3,32,39,3,10.66666667,82.05128205,6.5,13
2359,SJ Modani,United States of America,4,1,93,67,3,31,138.8059701,16.75,22.33333333
2360,SJ Myburgh,Netherlands,40,1,794,689,39,20.35897436,115.2394775,17.225,17.66666667
2361,SJ Patel,Czech Republic,4,1,2,10,3,0.666666667,20,2.5,3.333333333
2362,SJS Smith,Scotland,1,0,8,11,1,8,72.72727273,11,11
2363,SK Atai,Papua New Guinea,11,3,64,59,8,8,108.4745763,5.363636364,7.375
2364,SK Awiah,Ghana,11,0,246,277,11,22.36363636,88.80866426,25.18181818,25.18181818
2365,SK Raina,India,62,8,1563,1146,54,28.94444444,136.3874346,18.48387097,21.22222222
2366,SKDT Madusanka,Seychelles,7,2,150,158,5,30,94.93670886,22.57142857,31.6
2367,SKS Gill,Luxembourg,17,1,402,406,16,25.125,99.01477833,23.88235294,25.375
2368,SL Clephane,Czech Republic,1,0,1,6,1,1,16.66666667,6,6
2369,SL Malinga,Sri Lanka,30,10,136,160,20,6.8,85,5.333333333,8
2370,SL Perera,Ghana,2,0,10,23,2,5,43.47826087,11.5,11.5
2371,SM Curran,England,23,8,156,142,15,10.4,109.8591549,6.173913043,9.466666667
2372,SM Davies,England,5,0,102,81,5,20.4,125.9259259,16.2,16.2
2373,SM Katich,Australia,2,0,69,47,2,34.5,146.8085106,23.5,23.5
2374,SM Pollock,South Africa,9,2,86,70,7,12.28571429,122.8571429,7.777777778,10
2375,SM Sharif,Scotland,24,12,168,138,12,14,121.7391304,5.75,11.5
2376,SM Tupou,Fiji,5,0,74,73,5,14.8,101.369863,14.6,14.6
2377,SM Warnakulasuriya,France,4,1,24,25,3,8,96,6.25,8.333333333
2378,SMA Priyanjan,Sri Lanka,3,2,54,62,1,54,87.09677419,20.66666667,62
2379,SMK Waththage,Czech Republic,3,2,9,16,1,9,56.25,5.333333333,16
2380,SMSM Senanayake,Sri Lanka,9,4,38,53,5,7.6,71.69811321,5.888888889,10.6
2381,SN Netravalkar,United States of America,6,3,22,28,3,7.333333333,78.57142857,4.666666667,9.333333333
2382,SN Pathirana,Cyprus,5,1,13,21,4,3.25,61.9047619,4.2,5.25
2383,SN Thakur,India,4,3,49,22,1,49,222.7272727,5.5,22
2384,SNJ O'Keefe,Australia,5,0,32,26,5,6.4,123.0769231,5.2,5.2
2385,SO Hetmyer,West Indies,44,3,890,743,41,21.70731707,119.7846568,16.88636364,18.12195122
2386,SO Ngoche,Kenya,30,11,333,293,19,17.52631579,113.6518771,9.766666667,15.42105263
2387,SO Olayinka,Nigeria,3,0,25,34,3,8.333333333,73.52941176,11.33333333,11.33333333
2388,SO Tikolo,Kenya,9,1,176,142,8,22,123.943662,15.77777778,17.75
2389,SP Fleming,New Zealand,4,0,104,78,4,26,133.3333333,19.5,19.5
2390,SP Gauchan,Nepal,4,2,13,41,2,6.5,31.70731707,10.25,20.5
2391,SP Gomes,Portugal,7,2,213,173,5,42.6,123.1213873,24.71428571,34.6
2392,SP Guzman,Panama,3,0,21,29,3,7,72.4137931,9.666666667,9.666666667
2393,SP Khakurel,Nepal,7,0,110,130,7,15.71428571,84.61538462,18.57142857,18.57142857
2394,SP Narine,West Indies,17,3,136,124,14,9.714285714,109.6774194,7.294117647,8.857142857
2395,SP Patil,United Arab Emirates,13,0,187,218,13,14.38461538,85.77981651,16.76923077,16.76923077
2396,SP Terry,Ireland,1,0,4,6,1,4,66.66666667,6,6
2397,SPD Smith,Australia,49,10,987,778,39,25.30769231,126.8637532,15.87755102,19.94871795
2398,SR Bhudia,Kenya,14,2,147,146,12,12.25,100.6849315,10.42857143,12.16666667
2399,SR Mohan,Seychelles,4,2,29,49,2,14.5,59.18367347,12.25,24.5
2400,SR Patel,England,13,1,189,173,12,15.75,109.2485549,13.30769231,14.41666667
2401,SR Rocket,Seychelles,5,1,8,22,4,2,36.36363636,4.4,5.5
2402,SR Taylor,United States of America,13,3,467,316,10,46.7,147.7848101,24.30769231,31.6
2403,SR Tendulkar,India,1,0,10,11,1,10,90.90909091,11,11
2404,SR Thompson,Ireland,27,5,295,226,22,13.40909091,130.5309735,8.37037037,10.27272727
2405,SR Watson,Australia,51,6,1412,942,45,31.37777778,149.8938429,18.47058824,20.93333333
2406,SRMJJ Arachchilage,Cyprus,2,1,6,12,1,6,50,6,12
2407,SS Cottrell,West Indies,10,6,18,29,4,4.5,62.06896552,2.9,7.25
2408,SS Iyer,India,39,9,958,692,30,31.93333333,138.4393064,17.74358974,23.06666667
2409,SS McKechnie,Hong Kong,22,8,262,264,14,18.71428571,99.24242424,12,18.85714286
2410,SS Pathirana,Sri Lanka,5,0,27,24,5,5.4,112.5,4.8,4.8
2411,SSB Magala,South Africa,3,2,34,18,1,34,188.8888889,6,18
2412,SSJ Brooks,West Indies,12,1,218,211,11,19.81818182,103.3175355,17.58333333,19.18181818
2413,SSM Stanislaus,Malta,25,3,432,408,22,19.63636364,105.8823529,16.32,18.54545455
2414,ST Doheny,Ireland,3,0,19,21,3,6.333333333,90.47619048,7,7
2415,ST Finn,England,3,3,14,19,0,14,73.68421053,6.333333333,inf
2416,ST Jayasuriya,Sri Lanka,28,2,615,464,26,23.65384615,132.5431034,16.57142857,17.84615385
2417,ST de Silva,Sri Lanka,2,0,3,7,2,1.5,42.85714286,3.5,3.5
2418,STR Binny,India,2,0,35,29,2,17.5,120.6896552,14.5,14.5
2419,STRA de Silva,Seychelles,2,0,19,35,2,9.5,54.28571429,17.5,17.5
2420,SV Samson,India,20,2,366,273,18,20.33333333,134.0659341,13.65,15.16666667
2421,SVE Bharathi,Germany,6,2,7,16,4,1.75,43.75,2.666666667,4
2422,SW Billings,England/ICC World XI,30,3,457,343,27,16.92592593,133.2361516,11.43333333,12.7037037
2423,SW Masakadza,Zimbabwe,5,1,18,24,4,4.5,75,4.8,6
2424,SW Poynter,Ireland,19,5,232,204,14,16.57142857,113.7254902,10.73684211,14.57142857
2425,SW Tait,Australia,6,2,11,15,4,2.75,73.33333333,2.5,3.75
2426,Saad Bin Zafar,Canada,11,3,139,105,8,17.375,132.3809524,9.545454545,13.125
2427,Saad Khan,Saudi Arabia,6,0,117,101,6,19.5,115.8415842,16.83333333,16.83333333
2428,Saad Nasim,Pakistan,2,0,44,53,2,22,83.01886792,26.5,26.5
2429,Sabbir Rahman,Bangladesh,45,4,963,803,41,23.48780488,119.9252802,17.84444444,19.58536585
2430,Saber Zakhil,Belgium,13,2,332,209,11,30.18181818,158.8516746,16.07692308,19
2431,Sachin Ganpat Shinde,Serbia,1,0,6,16,1,6,37.5,16,16
2432,Sachin Kumar,Bahrain,3,1,20,27,2,10,74.07407407,9,13.5
2433,Sachin Mandy,Germany,8,0,57,67,8,7.125,85.07462687,8.375,8.375
2434,Saeed Ajmal,Pakistan,19,8,91,84,11,8.272727273,108.3333333,4.421052632,7.636363636
2435,Sagar Pun,Nepal,7,0,66,80,7,9.428571429,82.5,11.42857143,11.42857143
2436,Sahel Zadran,Austria,11,2,51,56,9,5.666666667,91.07142857,5.090909091,6.222222222
2437,Sahibzada Farhan,Pakistan,3,0,40,46,3,13.33333333,86.95652174,15.33333333,15.33333333
2438,Sahir Naqash,Germany,22,10,288,210,12,24,137.1428571,9.545454545,17.5
2439,Said Hakim,Belgium,1,1,6,12,0,6,50,12,inf
2440,Saif Hassan,Bangladesh,2,0,1,9,2,0.5,11.11111111,4.5,4.5
2441,Saim Ayub,Pakistan,7,0,123,99,7,17.57142857,124.2424242,14.14285714,14.14285714
2442,Saim Hussain,Bulgaria,16,2,577,385,14,41.21428571,149.8701299,24.0625,27.5
2443,Sajad Ahmadzai,Belgium,4,1,26,22,3,8.666666667,118.1818182,5.5,7.333333333
2444,Sajid Cheema,Saudi Arabia,3,0,31,37,3,10.33333333,83.78378378,12.33333333,12.33333333
2445,Sajid Liaqat,Germany,1,0,15,15,1,15,100,15,15
2446,Salman Butt,Pakistan,20,1,471,419,19,24.78947368,112.4105012,20.95,22.05263158
2447,Salman Nazar,Canada,1,0,10,9,1,10,111.1111111,9,9
2448,Sameer Patel,Lesotho,10,1,125,141,9,13.88888889,88.65248227,14.1,15.66666667
2449,Sami Sohail,Malawi,8,4,247,221,4,61.75,111.7647059,27.625,55.25
2450,Sami Ullah,Romania,7,1,105,53,6,17.5,198.1132075,7.571428571,8.833333333
2451,Samiallah Khalil,Sweden,2,0,3,6,2,1.5,50,3,3
2452,Samiullah Shenwari,Afghanistan,51,9,939,798,42,22.35714286,117.6691729,15.64705882,19
2453,Sana Ullah,South Korea,1,0,0,2,1,0,0,2,2
2454,Sandeep Goud,Oman/Bahamas,23,7,184,179,16,11.5,102.7932961,7.782608696,11.1875
2455,Sandeep Sharma,India,1,1,1,1,0,1,100,1,inf
2456,Sanjay Kumar,Hungary,2,1,9,7,1,9,128.5714286,3.5,7
2457,Sapan Mehta,Finland,5,0,74,82,5,14.8,90.24390244,16.4,16.4
2458,Saqib Naveed,Estonia,1,1,4,14,0,4,28.57142857,14,inf
2459,Saqib Zulfiqar,Netherlands,2,0,15,20,2,7.5,75,10,10
2460,Saqlain Ali,Belgium,2,0,3,7,2,1.5,42.85714286,3.5,3.5
2461,Saqlain Haider,United Arab Emirates,4,0,14,35,4,3.5,40,8.75,8.75
2462,Saran Aslam,Denmark,6,1,78,41,5,15.6,190.2439024,6.833333333,8.2
2463,Sarawut Maliwan,Thailand,1,1,5,9,0,5,55.55555556,9,inf
2464,Sarfaraj Patel,Lesotho,6,1,37,55,5,7.4,67.27272727,9.166666667,11
2465,Sarfaraz Ali,Bahrain,27,2,596,386,25,23.84,154.4041451,14.2962963,15.44
2466,Sarfraz Ahmed,Pakistan,40,10,818,652,30,27.26666667,125.4601227,16.3,21.73333333
2467,Sathya Narayanan,Switzerland,5,1,35,51,4,8.75,68.62745098,10.2,12.75
2468,Saud Islam,Uganda,19,2,452,424,17,26.58823529,106.6037736,22.31578947,24.94117647
2469,Saud Munir,Denmark,5,4,17,34,1,17,50,6.8,34
2470,Sayed Monib,Kuwait,9,3,160,70,6,26.66666667,228.5714286,7.777777778,11.66666667
2471,Sazib Bhuiyan,Czech Republic,9,1,96,66,8,12,145.4545455,7.333333333,8.25
2472,Sazzad Hosen,Belgium,5,0,54,57,5,10.8,94.73684211,11.4,11.4
2473,Sediqullah Atal,Afghanistan,1,0,11,19,1,11,57.89473684,19,19
2474,Shabir Noori,Afghanistan,1,0,15,18,1,15,83.33333333,18,18
2475,Shadab Khan,Pakistan,39,9,569,411,30,18.96666667,138.4428224,10.53846154,13.7
2476,Shafat Ali Syed,Spain,2,0,51,24,2,25.5,212.5,12,12
2477,Shafiq Sharif,Malaysia,10,0,144,123,10,14.4,117.0731707,12.3,12.3
2478,Shafiqullah,Afghanistan,35,10,418,292,25,16.72,143.1506849,8.342857143,11.68
2479,Shafiul Islam,Bangladesh,6,1,23,33,5,4.6,69.6969697,5.5,6.6
2480,Shafraz Jaleel,Maldives,2,0,0,2,2,0,0,1,1
2481,Shagharai Sefat,Belgium,2,0,4,10,2,2,40,5,5
2482,Shahab Alam,Nepal,1,1,0,1,0,0,0,1,inf
2483,Shahadat Hossain,Bangladesh,3,1,5,8,2,2.5,62.5,2.666666667,4
2484,Shahbaz Badar,Bahrain,8,0,74,69,8,9.25,107.2463768,8.625,8.625
2485,Shaheen Shah Afridi,Pakistan,10,4,48,40,6,8,120,4,6.666666667
2486,Shaheryar Butt,Belgium,13,3,275,205,10,27.5,134.1463415,15.76923077,20.5
2487,Shahid Afridi,Pakistan/Germany/ICC World XI,88,11,1419,909,77,18.42857143,156.1056106,10.32954545,11.80519481
2488,Shahid Arshad,Slovenia,4,0,30,41,4,7.5,73.17073171,10.25,10.25
2489,Shahid Mahmood,Bahrain,4,3,21,26,1,21,80.76923077,6.5,26
2490,Shahid Wasif,Hong Kong,21,6,322,305,15,21.46666667,105.5737705,14.52380952,20.33333333
2491,Shahil Momin,Austria,15,3,231,250,12,19.25,92.4,16.66666667,20.83333333
2492,Shahnawaz Dhani,Pakistan,1,0,16,6,1,16,266.6666667,6,6
2493,Shahrukh Quddus,Kuwait,1,1,0,1,0,0,0,1,inf
2494,Shahzaib Hasan,Pakistan,10,0,116,126,10,11.6,92.06349206,12.6,12.6
2495,Shaik Basha,Tanzania,1,0,9,8,1,9,112.5,8,8
2496,Shaiman Anwar,United Arab Emirates,31,2,953,754,29,32.86206897,126.3925729,24.32258065,26
2497,Shakeel Ansar,Pakistan,1,0,0,1,1,0,0,1,1
2498,Shakerullah Safi,Denmark,1,1,0,1,0,0,0,1,inf
2499,Shakib Al Hasan,Bangladesh,107,15,2243,1822,92,24.38043478,123.1064764,17.02803738,19.80434783
2500,Shamim Hossain,Bangladesh,13,2,245,203,11,22.27272727,120.6896552,15.61538462,18.45454545
2501,Shamsudheen Purat,Saudi Arabia,1,0,23,22,1,23,104.5454545,22,22
2502,Shamsullah Ehsan,Turkey,4,0,16,38,4,4,42.10526316,9.5,9.5
2503,Shamsur Rahman,Bangladesh,6,0,82,71,6,13.66666667,115.4929577,11.83333333,11.83333333
2504,Shan Masood,Pakistan,17,4,395,322,13,30.38461538,122.6708075,18.94117647,24.76923077
2505,Shapoor Zadran,Afghanistan,9,3,27,63,6,4.5,42.85714286,7,10.5
2506,Sharafuddin Ashraf,Afghanistan,7,2,35,40,5,7,87.5,5.714285714,8
2507,Shariz Ahmad,Netherlands,4,2,31,23,2,15.5,134.7826087,5.75,11.5
2508,Sharjeel Khan,Pakistan,18,0,406,304,18,22.55555556,133.5526316,16.88888889,16.88888889
2509,Sharveen Surendran,Malaysia,2,1,27,31,1,27,87.09677419,15.5,31
2510,Shehzad Patel,Swaziland,6,2,65,54,4,16.25,120.3703704,9,13.5
2511,Sheikh Rasik,Hungary,2,1,78,43,1,78,181.3953488,21.5,43
2512,Sher Sahak,Norway,13,2,240,167,11,21.81818182,143.7125749,12.84615385,15.18181818
2513,Sheraz Sheikh,Belgium,10,3,133,139,7,19,95.68345324,13.9,19.85714286
2514,Sherul Mehta,Belgium,3,0,60,88,3,20,68.18181818,29.33333333,29.33333333
2515,Shiraz Khan,Kuwait,15,6,207,182,9,23,113.7362637,12.13333333,20.22222222
2516,Shivam Mavi,India,2,0,28,18,2,14,155.5555556,9,9
2517,Shoaib Akhtar,Pakistan,6,3,21,16,3,7,131.25,2.666666667,5.333333333
