,Batter,Country,No. of Innings,No. of Not Outs,Total Runs,Total Balls Faced,No. of Outs,Batting Average,Strike Rate,Balls Faced per Innings,Balls Faced per Wicket
290,Ali Waqar,Czech Republic,3,0,23,30,3,7.666666667,76.66666667,10,10
291,Ali Yalmaz,Hungary,7,1,51,36,6,8.5,141.6666667,5.142857143,6
292,Ali Zaheer,Kuwait,4,2,40,44,2,20,90.90909091,11,22
293,Alok Kapali,Bangladesh,7,2,57,84,5,11.4,67.85714286,12,16.8
294,Aman Desai,Singapore,15,0,296,227,15,19.73333333,130.3964758,15.13333333,15.13333333
295,Amandeep Singh,Portugal,6,1,81,48,5,16.2,168.75,8,9.6
296,Amar Sharma,Malta,13,3,148,174,10,14.8,85.05747126,13.38461538,17.4
297,Ameel Mauroof,Maldives,7,3,42,76,4,10.5,55.26315789,10.85714286,19
298,Ameer Saiyed,Botswana,10,0,154,169,10,15.4,91.12426036,16.9,16.9
299,Aminuddin Ramly,Malaysia,17,3,236,153,14,16.85714286,154.248366,9,10.92857143
300,Aminul Islam,Bangladesh,6,3,35,41,3,11.66666667,85.36585366,6.833333333,13.66666667
301,Aminullah Tanha,Norway,3,0,5,17,3,1.666666667,29.41176471,5.666666667,5.666666667
302,Amir Ali,Oman,8,3,97,64,5,19.4,151.5625,8,12.8
303,Amir Hamza,Afghanistan,7,3,40,38,4,10,105.2631579,5.428571429,9.5
304,Amir Hayat,United Arab Emirates,2,0,3,6,2,1.5,50,3,3
305,Amir Mangal,Germany,6,2,56,39,4,14,143.5897436,6.5,9.75
306,Amir Sharif,Italy,3,1,28,27,2,14,103.7037037,9,13.5
307,Amir Zaib,Portugal,12,2,214,158,10,21.4,135.443038,13.16666667,15.8
308,Amjad Ali,United Arab Emirates,5,1,42,52,4,10.5,80.76923077,10.4,13
309,Amjad Gul,United Arab Emirates,3,0,28,30,3,9.333333333,93.33333333,10,10
310,Amjad Javed,United Arab Emirates,18,3,271,241,15,18.06666667,112.4481328,13.38888889,16.06666667
311,Amjad Mahboob,Singapore,13,5,35,48,8,4.375,72.91666667,3.692307692,6
312,Amjad Sher,Finland,14,1,167,108,13,12.84615385,154.6296296,7.714285714,8.307692308
313,Ammad Uddin,Bahrain,5,2,60,38,3,20,157.8947368,7.6,12.66666667
314,Ammar Zuhdi Hazalan,Malaysia,1,0,0,3,1,0,0,3,3
315,Amoluk Singh,Ghana,13,2,287,258,11,26.09090909,111.2403101,19.84615385,23.45454545
316,Anam Mollik,Italy,1,0,9,10,1,9,90,10,10
317,Anamul Haque,Bangladesh,15,1,338,298,14,24.14285714,113.4228188,19.86666667,21.28571429
